sub_label,sub_bearer_label,sub_classification,super_label,super_bearer_label,super_classification
'increased regulatory T cell apoptosis','apoptotic process',Occurent,'abnormal regulatory T cell physiology','regulatory T cell',Continuant
'abnormal primary cilium morphology','GO_0072372',Other,'abnormal cilium morphology','cilium',Continuant
'reduced foot pad pigmentation','epidermis of metapodial pad',Continuant,'decreased foot pigmentation','pigmentation',Occurent
'abnormal pancreatic epsilon cell differentiation','pancreatic epsilon cell differentiation',Occurent,'abnormal pancreatic epsilon cell morphology','pancreatic epsilon cell',Continuant
'urinary bladder inflammation','inflammatory response',Occurent,'abnormal urinary bladder physiology','urinary bladder',Continuant
'testis fibrosis','fibrosis',Other,'abnormal testis morphology','testis',Continuant
'abnormal kidney mesenchyme morphology','kidney mesenchyme',Continuant,'abnormal kidney development','kidney development',Occurent
'myositis','myositis',Other,'abnormal muscle physiology','muscle organ',Continuant
'abnormal leukopoiesis','leukocyte differentiation',Occurent,'abnormal immune system cell morphology','immune system',Continuant
'abnormal fertilization','fertilization',Occurent,'abnormal reproductive system physiology','reproductive system',Continuant
'abnormal nervous system development','nervous system development',Occurent,'abnormal nervous system morphology','nervous system',Continuant
'hemothorax','hemorrhage and non-specified extravasation',Other,'abnormal pulmonary circulation','blood circulation',Occurent
'increased pancreas apoptosis','apoptotic process',Occurent,'abnormal pancreas physiology','pancreas',Continuant
'abnormal primary cilium physiology','GO_0072372',Other,'abnormal cilium physiology','cilium',Continuant
'abnormal T follicular helper cell differentiation','T follicular helper cell differentiation',Occurent,'abnormal T follicular helper cell morphology','T follicular helper cell',Continuant
'abnormal pancreatic polypeptide secretion','pancreatic polypeptide secretion',Occurent,'abnormal PP cell physiology','PP cell',Continuant
'increased spinal cord apoptosis','apoptotic process',Occurent,'abnormal nervous system physiology','nervous system',Continuant
'abnormal keratinocyte adhesion','cell adhesion',Occurent,'abnormal keratinocyte physiology','keratinocyte',Continuant
'abnormal mammary gland growth during lactation','mammary gland',Continuant,'abnormal mammary gland development','mammary gland development',Occurent
'abnormal DNA-templated transcription',"'transcription, DNA-templated'",Occurent,'abnormal cell physiology','cell',Continuant
'abnormal cell motility','cell motility',Occurent,'abnormal cell physiology','cell',Continuant
'abnormal male meiosis','male meiotic nuclear division',Occurent,'abnormal meiosis','GO_0007126',Other
'abnormal female meiosis','female meiotic nuclear division',Occurent,'abnormal meiosis','GO_0007126',Other
'folliculitis','inflammatory response',Occurent,'abnormal hair follicle morphology','hair follicle',Continuant
'abnormal nasal pit morphology','olfactory pit',Continuant,'abnormal respiratory system development','respiratory system development',Occurent
'abnormal eosinophil differentiation','eosinophil differentiation',Occurent,'abnormal eosinophil morphology','eosinophil',Continuant
'abnormal neutrophil differentiation','neutrophil differentiation',Occurent,'abnormal neutrophil morphology','neutrophil',Continuant
'abnormal nasal placode morphology','olfactory placode',Continuant,'abnormal respiratory system development','respiratory system development',Occurent
'adipose tissue inflammation','inflammatory response',Occurent,'abnormal adipose tissue physiology','adipose tissue',Continuant
'impaired neural crest cell differentiation','cell differentiation',Occurent,'abnormal neural crest cell morphology','migratory neural crest cell',Continuant
'underdeveloped hair follicles','hair follicle',Continuant,'abnormal hair follicle development','hair follicle development',Occurent
'emphysema','emphysema',Other,'abnormal pulmonary acinus morphology','pulmonary acinus',Continuant
'abnormal bile secretion','bile acid secretion',Occurent,'abnormal gallbladder physiology','gall bladder',Continuant
'abnormal synaptic transmission','chemical synaptic transmission',Occurent,'abnormal nervous system physiology','nervous system',Continuant
'epidermal necrosis','necrotic cell death',Occurent,'abnormal epidermal layer morphology','skin epidermis',Continuant
'abnormal umbilical artery morphology','umbilical artery',Continuant,'abnormal artery development','artery development',Occurent
'spleen fibrosis','fibrosis',Other,'abnormal spleen morphology','spleen',Continuant
'abnormal lipoprotein level','lipoprotein',Continuant,'abnormal homeostasis','homeostatic process',Occurent
'abnormal urine potassium level','potassium atom',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'colonic necrosis','necrotic cell death',Occurent,'abnormal colon morphology','colon',Continuant
'skin fibrosis','fibrosis',Other,'abnormal skin morphology','zone of skin',Continuant
'interventricular septum membranous part aneurysm','aneurysm',Other,'abnormal interventricular septum membranous part morphology','interventricular septum membranous part',Continuant
'abnormal pancreatic delta cell differentiation','pancreatic D cell differentiation',Occurent,'abnormal pancreatic delta cell morphology','pancreatic D cell',Continuant
'abnormal pancreatic alpha cell differentiation','pancreatic A cell differentiation',Occurent,'abnormal pancreatic alpha cell morphology','pancreatic A cell',Continuant
'abnormal pancreatic beta cell differentiation','type B pancreatic cell differentiation',Occurent,'abnormal pancreatic beta cell morphology','type B pancreatic cell',Continuant
'abnormal tailgut morphology','tailgut',Continuant,'abnormal digestive system development','digestive system development',Occurent
'abnormal hindgut morphology','hindgut',Continuant,'abnormal digestive system development','digestive system development',Occurent
'abnormal cell differentiation','cell differentiation',Occurent,'abnormal cell physiology','cell',Continuant
'abnormal dental mesenchyme morphology','uncondensed odontogenic mesenchyme',Continuant,'abnormal tooth development','odontogenesis',Occurent
'ovary hemorrhage','hemorrhage and non-specified extravasation',Other,'abnormal ovary physiology','ovary',Continuant
'growth retardation of molars','molar tooth',Continuant,'abnormal tooth development','odontogenesis',Occurent
'impaired luteal cell differentiation','cell differentiation',Occurent,'abnormal corpus luteum morphology','corpus luteum',Continuant
'adipose tissue necrosis','necrotic cell death',Occurent,'abnormal adipose tissue morphology','adipose tissue',Continuant
'ovary cysts','cyst',Other,'abnormal ovary morphology','ovary',Continuant
'gastric ulcer','ulcer',Other,'abnormal stomach mucosa morphology','mucosa of stomach',Continuant
'abnormal liver development','liver development',Occurent,'abnormal liver morphology','liver',Continuant
'abnormal somite shape','somite',Continuant,'abnormal somite development','somite development',Occurent
'abnormal embryo development','embryo development',Occurent,'embryo phenotype','conceptus',Continuant
'perivascular fibrosis','fibrosis',Other,'abnormal blood vessel morphology','blood vessel',Continuant
'stomach inflammation','inflammatory response',Occurent,'abnormal digestive system physiology','digestive system',Continuant
'abnormal blood gas level','oxygen atom',Continuant,'abnormal blood homeostasis','homeostatic process',Occurent
'abnormal circulating ammonia level','ammonia',Continuant,'abnormal ammonia homeostasis','ammonia homeostasis',Occurent
'abnormal thymus apoptosis','apoptotic process',Occurent,'abnormal thymus physiology','thymus',Continuant
'abnormal muscle cell glucose uptake','glucose import',Occurent,'abnormal muscle physiology','muscle organ',Continuant
'agonadal','gonad',Continuant,'abnormal primary sex determination','primary sex determination',Occurent
'abnormal embryonic neuroepithelial layer differentiation','neuromast development',Occurent,'abnormal embryonic neuroepithelium morphology','germinal neuroepithelium',Continuant
'abnormal chondrocyte differentiation','chondrocyte differentiation',Occurent,'abnormal chondrocyte morphology','chondrocyte',Continuant
'abnormal cardiac muscle contractility','cardiac muscle contraction',Occurent,'abnormal cardiovascular system physiology','cardiovascular system',Continuant
'abnormal suckling behavior','suckling behavior',Other,'abnormal eating behavior','eating behavior',Occurent
'kidney microaneurysm','aneurysm',Other,'abnormal kidney blood vessel morphology','kidney blood vessel',Continuant
'abnormal vestibulocochlear ganglion morphology','vestibulocochlear ganglion',Continuant,'abnormal nervous system development','nervous system development',Occurent
'gastric necrosis','necrotic cell death',Occurent,'abnormal stomach morphology','stomach',Continuant
'tendonitis','inflammatory response',Occurent,'abnormal tendon physiology','tendon',Continuant
'abnormal kinocilium morphology','kinocilium',Continuant,'abnormal nonmotile primary cilium morphology','GO_0031513',Other
'abnormal embryonic autopod plate morphology','embryonic autopod plate',Continuant,'abnormal limb development','limb development',Occurent
'abnormal muscle relaxation','relaxation of muscle',Occurent,'abnormal muscle physiology','muscle organ',Continuant
'dental pulp necrosis','necrotic cell death',Occurent,'abnormal dental pulp morphology','dental pulp',Continuant
'abnormal hepatoblast morphology','hepatoblast',Continuant,'abnormal hepatobiliary system development','system development',Occurent
'impaired lung lobe morphogenesis','lung lobe morphogenesis',Occurent,'abnormal lung lobe morphology','lobe of lung',Continuant
'abnormal hepatic diverticulum morphology','hepatic diverticulum',Continuant,'abnormal hepatobiliary system development','system development',Occurent
'prostate gland inflammation','inflammatory response',Occurent,'abnormal prostate gland physiology','prostate gland',Continuant
'abnormal common myeloid progenitor cell morphology','common myeloid progenitor',Continuant,'abnormal definitive hematopoiesis','definitive hemopoiesis',Occurent
'abnormal alcohol consumption','alcohol consumption',Other,'abnormal drinking behavior','drinking behavior',Occurent
'abnormal Purkinje cell differentiation','cerebellar Purkinje cell differentiation',Occurent,'abnormal Purkinje cell morphology','Purkinje cell',Continuant
'abnormal bone healing','wound healing',Occurent,'abnormal skeleton physiology','skeletal system',Continuant
'abnormal bone remodeling','bone remodeling',Occurent,'abnormal skeleton physiology','skeletal system',Continuant
'joint inflammation','inflammatory response',Occurent,'abnormal skeleton physiology','skeletal system',Continuant
'aortic elastic tissue lesions','tissue specific degenerative process',Other,'abnormal aorta elastic tissue morphology','aorta elastic tissue',Continuant
'ulcerated paws','ulcer',Other,'abnormal autopod morphology','autopod region',Continuant
'abnormal sebaceous lipid secretion','secretion by tissue',Occurent,'abnormal sebaceous gland physiology','sebaceous gland',Continuant
'uterine hemorrhage','hemorrhage and non-specified extravasation',Other,'abnormal uterus physiology','uterus',Continuant
'abnormal digestion','digestion',Occurent,'abnormal digestive system physiology','digestive system',Continuant
'abnormal learning/memory/conditioning','learning or memory',Occurent,'abnormal cognition','cognitive behavior',Other
'renal glomerulus fibrosis','fibrosis',Other,'abnormal renal glomerulus morphology','renal glomerulus',Continuant
'premature cranial synchondrosis closure','cranial synchondrosis',Continuant,'premature endochondral bone ossification','endochondral ossification',Occurent
'premature craniofacial suture closure','craniofacial suture',Continuant,'premature intramembranous bone ossification','intramembranous ossification',Occurent
'delayed fontanelle closure','fontanelle',Continuant,'delayed intramembranous bone ossification','intramembranous ossification',Occurent
'hemopericardium','hemorrhage and non-specified extravasation',Other,'abnormal pericardial cavity morphology','pericardial cavity',Continuant
'lacrimal gland necrosis','necrotic cell death',Occurent,'abnormal lacrimal gland morphology','lacrimal gland',Continuant
'periodontal ligament necrosis','necrotic cell death',Occurent,'abnormal periodontal ligament morphology','periodontal ligament',Continuant
'abnormal lipid oxidation','lipid oxidation',Occurent,'abnormal cell physiology','cell',Continuant
'abnormal cellular respiration','cellular respiration',Occurent,'abnormal cell physiology','cell',Continuant
'abnormal leukocyte migration','leukocyte migration',Occurent,'abnormal leukocyte physiology','leukocyte',Continuant
'abnormal pupillary reflex','pupillary light reflex',Other,'abnormal eye physiology','camera-type eye',Continuant
'increased eye tumor incidence','neoplasm',Other,'abnormal eye morphology','camera-type eye',Continuant
'abnormal liver bud morphology','liver primordium',Continuant,'abnormal liver development','liver development',Occurent
'abnormal tooth mineralization','tooth mineralization',Occurent,'abnormal tooth hard tissue morphology','odontoid tissue',Continuant
'pathological neovascularization','blood vessel remodeling',Occurent,'abnormal blood vessel physiology','blood vessel',Continuant
'abnormal telencephalon development','telencephalon development',Occurent,'abnormal telencephalon morphology','telencephalon',Continuant
'premature fontanelle closure','fontanelle',Continuant,'premature intramembranous bone ossification','intramembranous ossification',Occurent
'abnormal B cell differentiation','B cell differentiation',Occurent,'abnormal B cell morphology','B cell',Continuant
'abnormal olfactory epithelium cilium morphology','GO_0031513',Other,'abnormal olfactory epithelium morphology','olfactory epithelium',Continuant
'vacuolated lens','lens of camera-type eye',Continuant,'abnormal lens development','lens development in camera-type eye',Occurent
'abnormal epiphyseal plate morphology','epiphyseal plate',Continuant,'abnormal skeleton development','skeletal system development',Occurent
'abnormal intraocular muscle development','muscle organ development',Occurent,'abnormal intraocular muscle morphology','intra-ocular muscle',Continuant
'ectopia lentis','lens of camera-type eye',Continuant,'abnormal eye development','eye development',Occurent
'aniridia','iris',Continuant,'abnormal eye development','eye development',Occurent
'abnormal meiotic spindle morphology','meiotic spindle',Continuant,'abnormal meiosis','GO_0007126',Other
'abnormal meiotic spindle assembly checkpoint','meiotic spindle assembly checkpoint',Occurent,'abnormal meiosis','GO_0007126',Other
'abnormal intestine apoptosis','apoptotic process',Occurent,'abnormal intestine physiology','intestine',Continuant
'abnormal lactation','lactation',Occurent,'abnormal mammary gland physiology','mammary gland',Continuant
'abnormal induced retinal neovascularization','retina',Continuant,'retinal neovascularization','blood vessel remodeling',Occurent
'abnormal circulating glucose level','glucose',Continuant,'abnormal blood homeostasis','homeostatic process',Occurent
'abnormal tail development','post-anal tail morphogenesis',Occurent,'abnormal tail morphology','post-anal tail',Continuant
'salivary gland inflammation','inflammatory response',Occurent,'abnormal salivary gland physiology','saliva-secreting gland',Continuant
'abnormal neurohypophysis development','neurohypophysis development',Occurent,'abnormal neurohypophysis morphology','neurohypophysis',Continuant
'abnormal amniotic fluid composition','amniotic fluid',Continuant,'abnormal fluid regulation','regulation of body fluid levels',Occurent
'abnormal neuron apoptosis','neuron apoptotic process',Occurent,'abnormal neuron physiology','neuron',Continuant
'abnormal adenohypophysis development','adenohypophysis development',Occurent,'abnormal adenohypophysis morphology','adenohypophysis',Continuant
'skeletal muscle fibrosis','fibrosis',Other,'abnormal skeletal muscle morphology','skeletal muscle tissue',Continuant
'variable depigmentation','zone of skin',Continuant,'abnormal skin pigmentation','pigmentation',Occurent
'altered righting response','righting reflex',Other,'abnormal motor coordination/balance','neuromuscular process controlling balance',Occurent
'abnormal motile primary cilium physiology','GO_0031512',Other,'abnormal embryonic tissue physiology','embryonic tissue',Continuant
'abnormal vasodilation','vasodilation',Occurent,'abnormal vascular smooth muscle physiology','blood vessel smooth muscle',Continuant
'hepatic steatosis','steatosis',Other,'abnormal liver morphology','liver',Continuant
'increased skin tumor incidence','neoplasm',Other,'abnormal skin morphology','zone of skin',Continuant
'abnormal limb development','limb development',Occurent,'abnormal limb morphology','limb',Continuant
'abnormal motor capabilities/coordination/movement','multicellular organismal movement',Occurent,'abnormal behavior','behavior process',Other
'fecal incontinence','external anal sphincter',Continuant,'abnormal defecation','defecation',Occurent
'epididymal cyst','cyst',Other,'abnormal epididymis morphology','epididymis',Continuant
'decreased skin tumor incidence','neoplasm',Other,'abnormal skin morphology','zone of skin',Continuant
'abnormal spermatocyte morphology','spermatocyte',Continuant,'abnormal spermatogenesis','spermatogenesis',Occurent
'abnormal spermatid morphology','spermatid',Continuant,'abnormal spermatogenesis','spermatogenesis',Occurent
'abnormal sinus venosus morphology','venous sinus',Continuant,'abnormal heart development','heart development',Occurent
'abnormal urine phosphate level','phosphate',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'increased metanephric mesenchyme apoptosis','apoptotic process',Occurent,'abnormal metanephric mesenchyme morphology','metanephric mesenchyme',Continuant
'abnormal defecation','defecation',Occurent,'abnormal digestive system physiology','digestive system',Continuant
'vasculitis','vasculitis',Other,'vascular inflammation','inflammatory response',Occurent
'abnormal urine osmolality','urine',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal urine calcium level','calcium atom',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal pancreas regeneration','regeneration',Occurent,'abnormal pancreas physiology','pancreas',Continuant
'sphingomyelinosis','sphingomyelin catabolic process',Occurent,'abnormal sphingomyelin level','sphingomyelin',Continuant
'abnormal copulation','copulation',Occurent,'abnormal reproductive system physiology','reproductive system',Continuant
'abnormal blood gas level','oxygen atom',Continuant,'abnormal gas homeostasis','gas homeostasis',Occurent
'abnormal sclerotome morphology','sclerotome',Continuant,'abnormal skeleton development','skeletal system development',Occurent
'abnormal vestibulocollic reflex','vestibulocollic reflex',Other,'abnormal vestibular system physiology','vestibular system',Continuant
'abnormal trophectoderm cell proliferation','trophectodermal cell proliferation',Occurent,'abnormal extraembryonic tissue physiology','extraembryonic structure',Continuant
'increased trophectoderm apoptosis','apoptotic process',Occurent,'abnormal extraembryonic tissue physiology','extraembryonic structure',Continuant
'abnormal aortic sac morphology','aortic sac',Continuant,'abnormal cardiovascular development','cardiovascular system development',Occurent
'pulmonary fibrosis','fibrosis',Other,'abnormal lung morphology','lung',Continuant
'abnormal vitelline vasculature morphology','vitelline vasculature',Continuant,'abnormal vascular development','blood vessel development',Occurent
'tubular nephritis','inflammatory response',Occurent,'abnormal renal tubule morphology','nephron tubule',Continuant
'progressive hair loss','alopecia',Other,'abnormal hair growth','anagen',Occurent
'abnormal synaptonemal complex','synaptonemal complex',Continuant,'abnormal meiosis','GO_0007126',Other
'cardiac fibrosis','fibrosis',Other,'abnormal heart morphology','heart',Continuant
'kidney cortex cysts','cyst',Other,'abnormal kidney cortex morphology','cortex of kidney',Continuant
'stomatitis','inflammatory response',Occurent,'abnormal digestive system physiology','digestive system',Continuant
'palate inflammation','inflammatory response',Occurent,'abnormal digestive system physiology','digestive system',Continuant
'abnormal cell-mediated immunity','leukocyte mediated immunity',Occurent,'abnormal immune system physiology','immune system',Continuant
'abnormal adaptive immunity','adaptive immune response',Occurent,'abnormal immune system physiology','immune system',Continuant
'thyroid cyst','cyst',Other,'abnormal thyroid gland morphology','thyroid gland',Continuant
'bone marrow failure','bone marrow development',Occurent,'abnormal hematopoietic stem cell physiology','hematopoietic stem cell',Continuant
'abnormal innate immunity','innate immune response',Occurent,'abnormal immune system physiology','immune system',Continuant
'abnormal cardiogenic plate morphology','cardiogenic plate',Continuant,'abnormal cardiovascular development','cardiovascular system development',Occurent
'impaired granulocyte bactericidal activity','defense response to bacterium',Occurent,'abnormal granulocyte physiology','granulocyte',Continuant
'abnormal chloride level','chloride',Continuant,'abnormal ion homeostasis','ion homeostasis',Occurent
'abnormal synchondrosis','synchondrosis',Continuant,'abnormal cartilage development','cartilage development',Occurent
'arthritis','arthritis',Other,'joint inflammation','inflammatory response',Occurent
'abnormal parathyroid gland development','parathyroid gland development',Occurent,'abnormal parathyroid gland morphology','parathyroid gland',Continuant
'abnormal lymph organ development','hematopoietic or lymphoid organ development',Occurent,'abnormal immune system organ morphology','hemopoietic organ',Continuant
'thyroid inflammation','inflammatory response',Occurent,'abnormal thyroid physiology','thyroid gland',Continuant
'abnormal neural plate morphology','neural plate',Continuant,'abnormal nervous system development','nervous system development',Occurent
'intestinal ulcer','ulcer',Other,'abnormal intestinal mucosa morphology','intestinal mucosa',Continuant
'perirectal abscess','abscess',Other,'abnormal rectum morphology','rectum',Continuant
'abnormal circulating magnesium level','magnesium atom',Continuant,'abnormal magnesium ion homeostasis','magnesium ion homeostasis',Occurent
'abnormal circulating sodium level','sodium atom',Continuant,'abnormal sodium ion homeostasis','sodium ion homeostasis',Occurent
'abnormal vision','visual perception',Occurent,'abnormal eye physiology','camera-type eye',Continuant
'decreased mitotic index','cell',Continuant,'abnormal mitosis','GO_0007067',Other
'abnormal MHC II cell surface expression on macrophages','MHC class II protein complex',Continuant,'abnormal macrophage antigen presentation','macrophage antigen processing and presentation',Occurent
'increased mitotic index','cell',Continuant,'abnormal mitosis','GO_0007067',Other
'pancreas necrosis','necrotic cell death',Occurent,'abnormal pancreas morphology','pancreas',Continuant
'abnormal blood circulation','blood circulation',Occurent,'abnormal cardiovascular system physiology','cardiovascular system',Continuant
'abnormal bile duct development','animal organ development',Occurent,'abnormal bile duct morphology','bile duct',Continuant
'loss of eyelid cilia','eyelash',Continuant,'abnormal hair growth','anagen',Occurent
'abnormal septation of the cloaca','cloacal septation',Occurent,'abnormal embryonic cloaca morphology','embryonic cloaca',Continuant
'abnormal level of surface class I molecules','MHC class I protein complex',Continuant,'abnormal antigen presentation via MHC class I','antigen processing and presentation of peptide antigen via MHC class I',Occurent
'alopecia','strand of hair',Continuant,'abnormal hair growth','anagen',Occurent
'excessive hair','strand of hair',Continuant,'abnormal hair growth','anagen',Occurent
'focal hair loss','coat of hair',Continuant,'abnormal hair growth','anagen',Occurent
'short hair','strand of hair',Continuant,'abnormal hair growth','anagen',Occurent
'sparse hair','strand of hair',Continuant,'abnormal hair growth','anagen',Occurent
'abnormal histamine physiology','histamine',Continuant,'abnormal homeostasis','homeostatic process',Occurent
'abnormal Schwann cell proliferation','Schwann cell proliferation',Occurent,'abnormal Schwann cell physiology','Schwann cell',Continuant
'aciduria','acid',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'increased foot pad pigmentation','epidermis of metapodial pad',Continuant,'increased foot pigmentation','pigmentation',Occurent
'abnormal cardiogenic mesoderm morphology','cardiogenic splanchnic mesoderm',Continuant,'abnormal cardiovascular development','cardiovascular system development',Occurent
'choroid sclerosis','sclerosis',Other,'abnormal optic choroid morphology','optic choroid',Continuant
'abnormal circulating fructosamine level','fructosamine',Continuant,'abnormal blood homeostasis','homeostatic process',Occurent
'otosclerosis','sclerosis',Other,'abnormal bony labyrinth','bony labyrinth',Continuant
'abnormal keratinocyte proliferation','keratinocyte proliferation',Occurent,'abnormal keratinocyte physiology','keratinocyte',Continuant
'myelofibrosis','fibrosis',Other,'abnormal bone marrow morphology','bone marrow',Continuant
'abnormal melanocyte differentiation','melanocyte differentiation',Occurent,'abnormal melanocyte morphology','melanocyte',Continuant
'abnormal microglial cell activation','microglial cell activation',Occurent,'abnormal microglial cell physiology','microglial cell',Continuant
'abnormal corneal wound healing','wound healing',Occurent,'abnormal cornea physiology','cornea',Continuant
'white spotting','coat of hair',Continuant,'abnormal coat/hair pigmentation','pigmentation',Occurent
'paresis','organism subdivision',Continuant,'abnormal voluntary movement','voluntary movement behavior',Other
'paralysis','organism subdivision',Continuant,'abnormal voluntary movement','voluntary movement behavior',Other
'increased collagen deposition in the muscles','collagen trimer',Continuant,'abnormal muscle development','muscle organ development',Occurent
'abnormal pillar cell differentiation','cell differentiation',Occurent,'abnormal pillar cell morphology','pillar cell',Continuant
'decreased hepatocyte apoptosis','apoptotic process',Occurent,'abnormal hepatocyte physiology','hepatocyte',Continuant
'abnormal erythrocyte aggregation','erythrocyte aggregation',Occurent,'abnormal erythrocyte physiology','erythrocyte',Continuant
'abnormal touch/ nociception','cutaneous sensation behavior',Other,'integument phenotype','integumental system',Continuant
'intestinal/bowel diverticulum','diverticulum',Other,'abnormal intestine morphology','intestine',Continuant
'intestinal microaneurysm','dissecting aneurysm',Other,'abnormal intestine morphology','intestine',Continuant
'eye adduction','medial rectus extraocular muscle',Continuant,'abnormal eye movement','eye movement',Other
'eye abduction','lateral rectus extra-ocular muscle',Continuant,'abnormal eye movement','eye movement',Other
'palsy of the eye','camera-type eye',Continuant,'abnormal eye movement','eye movement',Other
'increased insulin sensitivity','multicellular organism',Continuant,'abnormal glucose homeostasis','glucose homeostasis',Occurent
'mastitis','inflammatory response',Occurent,'abnormal mammary gland physiology','mammary gland',Continuant
'delayed cranial suture closure','cranial suture',Continuant,'delayed intramembranous bone ossification','intramembranous ossification',Occurent
'long hair','strand of hair',Continuant,'abnormal hair growth','anagen',Occurent
'abnormal mammary line morphology','mammary ridge',Continuant,'abnormal mammary gland development','mammary gland development',Occurent
'peritoneal inflammation','inflammatory response',Occurent,'abnormal digestive system physiology','digestive system',Continuant
'gastric microaneurysm','aneurysm',Other,'abnormal stomach morphology','stomach',Continuant
'gastrointestinal ulcer','ulcer',Other,'abnormal digestive system morphology','digestive system',Continuant
'ascending aorta aneurysm','aneurysm',Other,'abnormal ascending aorta morphology','ascending aorta',Continuant
'abnormal gametogenesis','gamete generation',Occurent,'abnormal reproductive system morphology','reproductive system',Continuant
'descending thoracic aorta aneurysm','aneurysm',Other,'abnormal descending thoracic aorta morphology','descending thoracic aorta',Continuant
'abnormal circulating glucose level','glucose',Continuant,'abnormal glucose homeostasis','glucose homeostasis',Occurent
'liver inflammation','inflammatory response',Occurent,'abnormal liver physiology','liver',Continuant
'persistent truncus arteriosis','pulmonary artery',Continuant,'abnormal truncus arteriosus septation','division septum assembly',Occurent
'esophageal inflammation','inflammatory response',Occurent,'abnormal digestive system physiology','digestive system',Continuant
'altered response of heart to induced stress','response to stress',Occurent,'abnormal cardiovascular system physiology','cardiovascular system',Continuant
'abnormal hair cycle','hair cycle',Occurent,'abnormal skin adnexa physiology','integumentary adnexa',Continuant
'abnormal cervical flexure morphology','cervical flexure',Continuant,'abnormal brain development','brain development',Occurent
'abdominal aorta aneurysm','aneurysm',Other,'abnormal abdominal aorta morphology','abdominal aorta',Continuant
'abnormal pancreatic beta cell proliferation','type B pancreatic cell proliferation',Occurent,'abnormal pancreatic beta cell physiology','type B pancreatic cell',Continuant
'abnormal primary vitreous morphology','primary vitreous',Continuant,'abnormal eye development','eye development',Occurent
'abnormal primordial meninx morphology','future meninx',Continuant,'abnormal brain development','brain development',Occurent
'abnormal renal plasma flow rate','blood plasma',Continuant,'abnormal blood flow velocity','blood circulation',Occurent
'abnormal placental transport','transport',Occurent,'abnormal placenta physiology','placenta',Continuant
'abnormal brain zinc level','zinc atom',Continuant,'abnormal zinc homeostasis','cellular zinc ion homeostasis',Occurent
'abnormal circulating lipoprotein level','lipoprotein',Continuant,'abnormal blood homeostasis','homeostatic process',Occurent
'abnormal discrimination learning','discrimination learning',Other,'abnormal learning/memory/conditioning','learning or memory',Occurent
'abnormal urine pH','urine',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'abnormal motor learning','motor learning',Other,'abnormal learning/memory/conditioning','learning or memory',Occurent
'uterus inflammation','inflammatory response',Occurent,'abnormal uterus physiology','uterus',Continuant
'abnormal lymph circulation','lymph circulation',Occurent,'abnormal lymphatic system physiology','lymphatic part of lymphoid system',Continuant
'sagittal suture sclerosis','sclerosis',Other,'abnormal sagittal suture morphology','sagittal suture',Continuant
'lambdoid suture sclerosis','sclerosis',Other,'abnormal lambdoid suture morphology','lambdoid suture',Continuant
'coronal suture sclerosis','sclerosis',Other,'abnormal coronal suture morphology','coronal suture',Continuant
'abnormal motile primary cilium morphology','GO_0031512',Other,'abnormal primitive node morphology','primitive knot',Continuant
'abnormal urination','micturition',Occurent,'abnormal renal/urinary system physiology','renal system',Continuant
'abnormal vitelline vein morphology','vitelline vein',Continuant,'abnormal vein development','venous blood vessel development',Occurent
'abnormal umbilical vein morphology','umbilical vein',Continuant,'abnormal vein development','venous blood vessel development',Occurent
'abnormal esophagus development','esophagus development',Occurent,'abnormal esophagus morphology','esophagus',Continuant
'fused cornea and lens','cornea',Continuant,'abnormal lens development','lens development in camera-type eye',Occurent
'abnormal hair growth','anagen',Occurent,'abnormal coat appearance','coat of hair',Continuant
'abnormal coat/hair pigmentation','pigmentation',Occurent,'abnormal coat appearance','coat of hair',Continuant
'abnormal cholangiocyte primary cilium physiology','GO_0031513',Other,'abnormal bile duct physiology','bile duct',Continuant
'abnormal renal water homeostasis','renal water homeostasis',Occurent,'abnormal kidney physiology','kidney',Continuant
'abnormal intersomitic artery morphology','intersomitic artery',Continuant,'abnormal artery development','artery development',Occurent
'abnormal vitelline artery morphology','vitelline artery',Continuant,'abnormal artery development','artery development',Occurent
'abnormal circulating glucagon level','glucagon',Continuant,'abnormal glucose homeostasis','glucose homeostasis',Occurent
'abnormal kidney cell proliferation','cell proliferation',Occurent,'abnormal kidney physiology','kidney',Continuant
'dysphagia','swallowing',Other,'abnormal digestive system physiology','digestive system',Continuant
'abnormal granulocyte chemotaxis','granulocyte chemotaxis',Occurent,'abnormal granulocyte physiology','granulocyte',Continuant
'abnormal food intake','food consumption',Other,'abnormal eating behavior','eating behavior',Occurent
'abnormal digestive system development','digestive system development',Occurent,'abnormal digestive system morphology','digestive system',Continuant
'abnormal thymus development','thymus development',Occurent,'abnormal thymus morphology','thymus',Continuant
'increased amnion apoptosis','apoptotic process',Occurent,'abnormal amnion physiology','amnion',Continuant
'abnormal urine sulfate level','sulfate',Continuant,'abnormal urine homeostasis','homeostatic process',Occurent
'diarrhea','feces',Continuant,'abnormal defecation','defecation',Occurent
'abnormal natural killer cell mediated cytotoxicity','natural killer cell mediated cytotoxicity',Occurent,'abnormal NK cell physiology','natural killer cell',Continuant
